,Pekerjaan (Occupation),LODGE_count
266,231213 Ship's Master,108
267,134111 Child Care Centre Manager,108
268,324111 Panelbeater,106
269,212411 Copywriter,100
270,224213 Health Information Manager,98
271,232413 Multimedia Designer,97
272,234518 Zoologist,96
273,234915 Exercise Physiologist,96
274,263113 Network Analyst,94
275,232412 Illustrator,94
276,224912 Liaison Officer,92
277,251111 Dietitian,89
278,251999 Health Diagnostic and Promotion Professionals nec,88
279,331213 Joiner,88
280,139913 Laboratory Manager,87
281,411111 Ambulance Officer,87
282,222113 Insurance Broker,86
283,253411 Psychiatrist,86
284,323111 Aircraft Maintenance Engineer (Avionics),85
285,149914 Financial Institution Branch Manager,85
286,233916 Naval Architect,82
287,222299 Financial Dealers nec,81
288,232311 Fashion Designer,78
289,311299 Medical Technicians nec,77
290,334113 Drainer,76
291,211213 Musician (Instrumental),75
292,251214 Sonographer,75
293,311216 Pathology Collector,74
294,234999 Natural and Physical Science Professionals nec,73
295,252299 Complementary Health Therapists nec,72
296,312611 Safety Inspector,69
297,254311 Nurse Manager,69
298,222211 Financial Market Dealer,65
299,411213 Dental Technician,64
300,599915 Clinical Coder,64
301,134412 Regional Education Manager,63
302,312511 Mechanical Engineering Draftsperson,63
303,121215 Grape Grower,62
304,252611 Podiatrist,61
305,399212 Gas or Petroleum Operator,60
306,121212 Flower Grower,59
307,251411 Optometrist,58
308,121213 Fruit or Nut Grower,57
309,234413 Hydrogeologist,56
310,272311 Clinical Psychologist,55
311,451815 First Aid Trainer,55
312,212318 Video Producer,55
313,333311 Roof Tiler,54
314,411713 Family Support Worker,53
315,452316 Tennis Coach,52
316,254413 Registered Nurse (Child and Family Health),51
317,452317 Other Sports Coach or Instructor,51
318,224214 Records Manager,50
319,411112 Intensive Care Ambulance Paramedic,48
320,272112 Drug and Alcohol Counsellor,47
321,222111 Commodities Trader,47
322,251412 Orthoptist,46
323,323213 Fitter-Welder,46
324,441211 Emergency Service Worker,44
325,251311 Environmental Health Officer,43
326,253311 Specialist Physician (General Medicine),42
327,452312 Gymnastics Coach or Instructor,42
328,351211 Butcher or Smallgoods Maker,41
329,612115 Real Estate Representative,41
330,141211 Caravan Park and Camping Ground Manager,41
331,399599 Performing Arts Technicians nec,40
332,331112 Stonemason,40
333,212212 Book or Script Editor,40
334,639211 Retail Buyer,39
335,323412 Toolmaker,38
336,253316 Gastroenterologist,37
337,253321 Paediatrician,37
338,399111 Boat Builder and Repairer,37
339,334115 Roof Plumber,37
340,231113 Flying Instructor,36
341,272113 Family and Marriage Counsellor,35
342,225112 Market Research Analyst,35
343,254411 Nurse Practitioner,34
344,234913 Meteorologist,34
345,451211 Driving Instructor,32
346,212416 Television Journalist,31
347,253317 Intensive Care Specialist,31
348,222213 Stockbroking Dealer,30
349,134214 Welfare Centre Manager,30
350,392311 Printing Machinist,30
351,253399 Specialist Physicians nec,30
352,212413 Print Journalist,30
353,334114 Gasfitter,29
354,254416 Registered Nurse (Developmental Disability),28
355,271111 Barrister,28
356,"212312 Director (Film, Television, Radio or Stage)",28
357,252112 Osteopath,27
358,121411 Mixed Crop and Livestock Farmer,27
359,411715 Residential Care Officer,26
360,451711 Flight Attendant,25
361,234911 Conservator,24
362,253917 Diagnostic and Interventional Radiologist,23
363,251212 Medical Radiation Therapist,22
364,221211 Company Secretary,22
365,149113 Sports Centre Manager,22
366,411211 Dental Hygienist,22
367,311212 Cardiac Technician,21
368,362311 Greenkeeper,21
369,133112 Project Builder,21
370,212111 Artistic Director,21
371,241599 Special Education Teachers nec,20
372,"399512 Camera Operator (Film, Television or Video)",18
373,211212 Music Director,18
374,131113 Advertising Manager,18
375,253913 Obstetrician and Gynaecologist,18
376,133513 Production Manager (Mining),17
377,272312 Educational Psychologist,17
378,342211 Electrical Linesworker,17
379,342413 Telecommunications Linesworker,16
380,362212 Arborist,16
381,313111 Hardware Technician,16
382,361112 Horse Trainer,15
383,"121214 Grain, Oilseed or Pasture Grower",15
384,142115 Post Office Manager,15
385,399213 Power Generation Plant Operator,15
386,253511 Surgeon (General),15
387,452413 Jockey,14
388,253512 Cardiothoracic Surgeon,14
389,599612 Insurance Loss Adjuster,13
390,272611 Community Arts Worker,13
391,324311 Vehicle Painter,13
392,251213 Nuclear Medicine Technologist,13
393,411214 Dental Therapist,13
394,139915 Sports Administrator,12
395,149112 Fitness Centre Manager,12
396,332111 Floor Finisher,12
397,253514 Orthopaedic Surgeon,12
398,321214 Small Engine Mechanic,11
399,362411 Nurseryperson,10
400,249212 Dance Teacher (Private Tuition),10
401,253318 Neurologist,10
402,313199 ICT Support Technicians nec,9
403,253211 Anaesthetist,9
404,232213 Cartographer,9
405,342212 Technical Cable Jointer,9
406,133612 Procurement Manager,9
407,252213 Naturopath,8
408,311214 Operating Theatre Technician,7
409,211112 Dancer or Choreographer,7
410,252311 Dental Specialist,7
411,252211 Acupuncturist,6
412,253315 Endocrinologist,6
413,234515 Botanist,5
414,253517 Plastic and Reconstructive Surgeon,4
415,224914 Patents Examiner,4
416,323113 Aircraft Maintenance Engineer (Structures),4
417,361199 Animal Attendants and Trainers nec,3
418,253914 Ophthalmologist,3
419,252214 Traditional Chinese Medicine Practitioner,3
420,253324 Thoracic Medicine Specialist,3
421,253312 Cardiologist,2
422,241512 Teacher of the Hearing Impaired,2
423,253516 Paediatric Surgeon,2
424,362213 Landscape Gardener,2
425,361114 Zookeeper,1
